iso2,region,subregion
tm,Asia,Central Asia
tv,Oceania,Polynesia
ug,Africa,Sub-Saharan Africa
ua,Europe,Eastern Europe
ae,Asia,Western Asia
gb,Europe,Northern Europe
us,Americas,North America
uy,Americas,South America
uz,Asia,Central Asia
vu,Oceania,Melanesia
va,Europe,Southern Europe
ve,Americas,South America
vn,Asia,South-eastern Asia
ye,Asia,Western Asia
zm,Africa,Sub-Saharan Africa
zw,Africa,Sub-Saharan Africa
tw,Asia,Eastern Asia
xk,Europe,Southern Europe
